"id","selfish99","selfish975","selfish95","selfish90","selfish75","impartial05","impartial10","stochastic_symmetricd01","stochastic_symmetricd05","stochastic_symmetricd10","CCEI_nonstochastic_sym90","CCEI_nonstochastic_sym95","reject_SRISK = PRISK","reject_SRISK = SOCIAL","reject_SOCIAL = PRISK","reject_ALL DOMAINS","p_SRISK = PRISK","p_SRISK = SOCIAL","p_SOCIAL = PRISK","p_ALL DOMAINS","reject_mSRISK = mPRISK","reject_mSRISK = mSOCIAL","reject_mSOCIAL = mPRISK","reject_mALL DOMAINS","p_mSRISK = mPRISK","p_mSRISK = mSOCIAL","p_mSOCIAL = mPRISK","p_mALL DOMAINS"
102,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0.6434316799999998,0.63078912,1,0.46227282670600006
103,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0.05008247999999971,0,7.999999999998237e-8,0,1,1,1,1,0,0,0,0
104,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0.0015996799999997702,7.99919999999954e-4,1,0.04525431795200041,1,1,0,1,0,0,1,0
105,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,2.17799999999996e-5,0.029256175298000064,0,1,1,1,0.5135671800000001,0,0,0
106,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.087032,0,9.80000000000095e-7,5.749920000000131e-7,0,1,1,1,0.12271058000000003,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6168828799999999,0.47154872000000014,0.5163246200000002,0.40319212613400013,1,0,0,1,0.005596079999999892,1,0.2003160799999999,0.007789864393999757
108,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0.8350515199999999,1,0.6881239800000001,0.7630595840000001,0,0,1,0,0.6832600799999999,1,0.04771199999999998,0.17916659622400033
109,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0.11433761999999999,1.1519999999999595e-5,7.999999999998237e-8,5.4000000000000146e-8,1,1,1,1,6.498000000000087e-5,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6874759799999999,0.17595000000000005,0.015068479999999995,0.32927083473600005,1,0,1,1,0.04731678000000006,0.8617612800000001,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4.0499999999999074e-5,0,0.514098,2.7159348800000004e-4,1,1,1,1,0,0,0,0
113,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,2.5920000000000687e-5,0,1,1,1,1,0.0015996799999997702,0,0,0
114,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,7.999999999998237e-8,7.999999999998237e-8,5.958199999999952e-8,0,1,1,1,1,0,0,0
115,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0.18891488,1,0.5637608322500003,1,1,0,1,0.008790319999999907,3.9997999999985545e-4,0.3655679999999999,0
116,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.31824242,0,1.2499999999999467e-5,6.553599999999881e-8,1,1,1,1,0.009329780000000008,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8234219999999999,0.058755919999999996,0.007193520000000175,0.026590418818,0,1,1,0,1,7.99919999999954e-4,0.005196619999999763,0.05174717700600029
118,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0.2564086200000002,0,0,0,0,1,1,1,0.8182006199999998,0,0,0
119,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.6321420000000002,1,1,1,1,0,0,0,0.013975499999999696,1,0.4015279999999999,0.10201461543399981
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.28208352000000025,3.9997999999985545e-4,6.993800000000038e-4,0.020606615552000003,0,1,1,1,0.6328125,0,0,0
121,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7817500799999999,0.43935938,0.25176608,0.186659085312,0,0,0,0,1,1,1,1
122,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.5881279200000002,0,0,0,0,0,0,0,1,1,1,1
